id,title,category,kind,correspondent,fileFormat,path,indexed,contentLength,extractionMethod,chunks,sha256,tags,summary
doc-ifba-vca-bsi-portaria-nde-083-2025-dg,IFBA VCA BSI Portaria NDE 083 2025 DG,Documentos,Portaria,NDE,PDF,documents/ifba-vca_bsi_portaria-nde_083-2025-dg.pdf,True,2568,pdftotext,3,fb24adb5757dc1654bde23e73880cb8050f30c92a95f8bd080c758493369f6a6,Documentos; Portaria; NDE; 2025; 2024; 1966; 2037; 2093; 2015,"Ministério da Educação Secretaria de Educação Profissional e Tecnológica Instituto Federal de Educação, Ciência e Tecnologia da Bahia PORTARIA Nº 83 DE 02 DE JUNHO DE 2025 O DIRETOR GERAL DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA – CAMPUS VITÓRIA DA CONQUISTA , no uso de suas atribuições legais, conforme lhe confere a Portaria nº 1.587,…"
doc-ifba-vca-bsi-ppc-2017,IFBA VCA BSI PPC 2017,Documentos,PPC,NDE,PDF,documents/ifba-vca_bsi_ppc_2017.pdf,True,235808,pdftotext,216,532581dc52ccac0d9ad5daba50d10c37720c467c3d9d7d8fcb89fe6832dc1308,Documentos; PPC; projeto pedagógico; currículo; TCC; trabalho de conclusão; estágio; atividades complementares; horas; NDE; colegiado; 2017; 2010,"MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA CAMPUS VITÓRIA DA CONQUISTA PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM SISTEMAS DE INFORMAÇÃO Av. Amazonas 3150, 45030-220 Vitória da Conquista - BA Vitória da Conquista 2017 MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA CAMPUS VITÓRIA…"
doc-ifba-vca-bsi-ppc-2024,IFBA VCA BSI PPC 2024,Documentos,PPC,CONSEPE,PDF,documents/ifba-vca_bsi_ppc_2024.pdf,True,216897,pdftotext,193,4ced560ca276a316222143bb4cce8c64de1764b2dfc93548fac2b776ec084b41,Documentos; PPC; projeto pedagógico; currículo; matriz; disciplinas; TCC; trabalho de conclusão; extensão; atividades complementares; horas; NDE; colegiado; resolução; NAES; normas acadêmicas; 2024; 2010,"PROJETO PEDAGÓGICO DE CURSO BACHARELADO EM SISTEMAS DE INFORMAÇÃO Outubro, 2024 Avenida Sérgio Vieira Melo, 3.150, Vitória da Conquista, Bahia | CEP 45.078-900 Vitória da Conquista Reitora Profª. Luzia Matos Mota Pró-Reitor de Ensino Prof. Jancarlos Menezes Lapa Diretor Geral Prof. Felizardo Adenilson Rocha Diretor Acadêmico Prof. Wesley de Almeida Souto Coo…"
doc-ifba-vca-bsi-projeto-curso-ppc-2013,IFBA VCA BSI Projeto Curso PPC 2013,Documentos,PPC,MEC/CNE,PDF,documents/ifba-vca_bsi_projeto-curso_ppc_2013.pdf,True,307404,pdftotext,276,43e9792aaa0eb024e539067e4b5c6f09491d462eb1650a213d1756c8bff0962b,Documentos; PPC; projeto pedagógico; currículo; fluxograma; matriz; extensão; NDE; colegiado; 2013,"MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA CAMPUS VITÓRIA DA CONQUISTA PROJETO DO CURSO DE BACHARELADO EM SISTEMAS DE INFORMAÇÃO Av. Amazonas 3150, 45030-220 Vitória da Conquista - BA Vitória da Conquista agosto / 2013 1 Nome da Unidade: INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA / CAMPUS VITÓRIA DA …"
doc-ifba-vca-bsi-quadro-equivalencia-matrizes-2010-2017-2024,IFBA VCA BSI Quadro Equivalencia Matrizes 2010 2017 2024,Documentos,Matriz curricular,NDE,PDF,documents/ifba-vca_bsi_quadro-equivalencia_matrizes-2010-2017_2024.pdf,True,2944,pdftotext,4,e9a20670bb59b400c0eadb43d0a659e1029746756b2d4efd1b4242c2ee3593b4,Documentos; Matriz curricular; matriz; currículo; disciplinas; equivalência; aproveitamento; TCC; trabalho de conclusão; estágio; NDE; colegiado; 2010; 2017; 2024,BACHARELADO EM SISTEMAS DE INFORMAÇÃO QUADRO DE EQUIVALÊNCIA ENTRE MATRIZES CURRICULARES DE 2010 E 2017 Atualização aprovada pelo Colegiado de Curso em 04/03/2024 MATRIZ CURRICULAR DE 2017 MATRIZ CURRICULAR DE 2010 CARGA CARGA SEM COMPONENTE CURRICULAR SEM COMPONENTE CURRICULAR HORÁRIA HORÁRIA 1 Algoritmo e Programação 60 1 Introdução à Programação 60 1 Leit…
doc-ifba-vca-bsi-regimento-colegiado-curso-2024,IFBA VCA BSI Regimento Colegiado Curso 2024,Documentos,PPC,CONSEPE,PDF,documents/ifba-vca_bsi_regimento-colegiado-curso_2024.pdf,True,15240,pdftotext,20,cafe14ae8b34f8d002c24e7e739bb98e09f022817894e6383767514107e5ec83,Documentos; PPC; projeto pedagógico; currículo; estágio; colegiado; resolução; regulamento; regimento; NAES; normas acadêmicas; 2024; 2019,"BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGIMENTO DE COLEGIADO DE CURSO Vitória da Conquista, Bahia Setembro de 2024 BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGIMENTO DE COLEGIADO DE CURSO Aprovado pela Resolução Nº 012/2024, do Conselho de Campus, de 05/09/2024. Vitória da Conquista, Bahia Setembro de 2024 BACHARELADO EM SISTEMAS DE INFORMAÇÃO REGULAMENTO DE …"
doc-ifba-vca-bsi-regulamento-atividades-complementares-ppc-2010-2017-2024,IFBA VCA BSI Regulamento Atividades Complementares PPC 2010 2017 2024,Documentos,PPC,CONSEPE,PDF,documents/ifba-vca_bsi_regulamento-atividades-complementares_ppc-2010-2017_2024.pdf,True,19434,pdftotext,23,8ee827cf02cac8e48fcec3c208facc03b7561ccce0a6541119fe7d16c9f051db,Documentos; PPC; projeto pedagógico; currículo; matriz; disciplinas; atividades complementares; horas; NDE; colegiado; resolução; regulamento; 2010; 2017; 2024; 2016,"BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE ATIVIDADES COMPLEMENTARES Atualização no dia 07/10/2024 e aplicável aos Projetos Pedagógicos de Curso implantados em 2010 e 2017, conforme autos de processo nº 23281.006030/2024-00 Vitória da Conquista, Bahia Outubro de 2024 BACHARELADO EM SISTEMAS DE INFORMAÇÃO REGULAMENTO DE ATIVIDADES COMPLEMENTARES CA…"
doc-ifba-vca-bsi-regulamento-atividades-complementares-ppc-2024-2024,IFBA VCA BSI Regulamento Atividades Complementares PPC 2024 2024,Documentos,PPC,CONSEPE,PDF,documents/ifba-vca_bsi_regulamento-atividades-complementares_ppc-2024_2024.pdf,True,18250,pdftotext,22,8cfe4408a617206ee2793fe5cd3b93395997f553bdc6f8704b58e81a68af4ff4,Documentos; PPC; projeto pedagógico; currículo; matriz; disciplinas; atividades complementares; horas; NDE; colegiado; resolução; regulamento; 2024; 2016; 2023,"BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE ATIVIDADES COMPLEMENTARES Aprovação no dia 07/10/2024 e aplicável ao Projeto Pedagógico de Curso implantado em 2024, conforme autos de processo nº 23281.006030/2024-00 Vitória da Conquista, Bahia Outubro de 2024 BACHARELADO EM SISTEMAS DE INFORMAÇÃO REGULAMENTO DE ATIVIDADES COMPLEMENTARES CAPÍTULO I DAS …"
doc-ifba-vca-bsi-regulamento-atividades-curriculares-extensao-2023,IFBA VCA BSI Regulamento Atividades Curriculares Extensao 2023,Documentos,PPC,CONSEPE,PDF,documents/ifba-vca_bsi_regulamento-atividades-curriculares-extensao_2023.pdf,True,14242,pdftotext,22,0208048fa7c3a17a8fc3cf0b3d5f14cd9dd36378ae50432820f08e1b1dfed217,Documentos; PPC; projeto pedagógico; currículo; aproveitamento; disciplinas; extensão; curricularização; colegiado; resolução; regulamento; 2023; 2014; 2018; 2021; 2019,"BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE ATIVIDADES CURRICULARES DE EXTENSÃO Vitória da Conquista, Bahia Dezembro de 2023 BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE ATIVIDADES CURRICULARES DE EXTENSÃO Aprovado pelo Colegiado de Curso no dia 13/12/2023, conforme autos de processo nº 23281.007946/2023-98 Vitória da Conquista, Bahia Deze…"
doc-ifba-vca-bsi-regulamento-estagio-curricular-supervisionado-2023,IFBA VCA BSI Regulamento Estagio Curricular Supervisionado 2023,Documentos,PPC,Colegiado de Curso,PDF,documents/ifba-vca_bsi_regulamento-estagio-curricular-supervisionado_2023.pdf,True,25433,pdftotext,27,a8e8d14b3131483fdf8136e378a4c3d9b4f5443c6c43e493b484d7e4ee1d8a47,Documentos; PPC; projeto pedagógico; currículo; matriz; disciplinas; aproveitamento; estágio; atividades complementares; horas; colegiado; regulamento; 2023,"BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE ESTÁGIO CURRICULAR SUPERVISIONADO Vitória da Conquista, Bahia Dezembro de 2023 BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE ESTÁGIO CURRICULAR SUPERVISIONADO Aprovado pelo Colegiado de Curso em reunião ocorrida no dia 04/12/2023, conforme autos de processo nº 23281.007726/2023-64 Vitória da Conqu…"
doc-ifba-vca-bsi-regulamento-migracao-curricular-matriz-2024-2023,IFBA VCA BSI Regulamento Migracao Curricular Matriz 2024 2023,Documentos,PPC,NDE,PDF,documents/ifba-vca_bsi_regulamento-migracao-curricular_matriz-2024_2023.pdf,True,7791,pdftotext,9,6f825dcae7e4500119d34003c2b211e5294153a14d8e9292fe800f81b42d3f92,Documentos; PPC; projeto pedagógico; currículo; matriz; disciplinas; migração; equivalência; aproveitamento; NDE; colegiado; regulamento; 2024; 2023,"BACHARELADO EM SISTEMAS DE INFORMAÇÃO REGULAMENTO DE MIGRAÇÃO PARA MATRIZ CURRICULAR DE NOVO PROJETO PEDAGÓGICO DE CURSO EM VIGOR A PARTIR DO 1º SEMESTRE LETIVO DE 2024 Aprovação pelo Colegiado de Curso em 04/12/2023 A partir do 1º semestre letivo de 2024, será facultada, ao(à)s discentes ingressantes em semestres letivos anteriores, a migração para a matriz…"
doc-ifba-vca-bsi-regulamento-trabalho-conclusao-curso-2024,IFBA VCA BSI Regulamento Trabalho Conclusao Curso 2024,Documentos,PPC,Colegiado de Curso,PDF,documents/ifba-vca_bsi_regulamento-trabalho-conclusao-curso_2024.pdf,True,38093,pdftotext,44,a44310cd586dc3a7e438fe490dd9a2c865ed9de9f1edba59514d5d09cd0b3c9b,Documentos; PPC; projeto pedagógico; currículo; matriz; disciplinas; TCC; trabalho de conclusão; colegiado; regulamento; 2024,"BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE TRABALHO DE CONCLUSÃO DE CURSO Vitória da Conquista, Bahia Agosto de 2024 BACHARELADO EM SISTEMAS DE INFORMAÇÕES REGULAMENTO DE TRABALHO DE CONCLUSÃO DE CURSO Homologado pelo Colegiado de Curso em reunião ocorrida no dia 05/08/2024, conforme autos de processo nº 23281.004182/2024-60 Vitória da Conquista, …"
doc-ifba-vca-concam-resolucao-012-2024-aprovacao-regimento-colegiado-bsi,IFBA VCA CONCAM Resolucao 012 2024 Aprovacao Regimento Colegiado BSI,Documentos,Regulamento,CONCAM,PDF,documents/ifba-vca_concam_resolucao-012-2024_aprovacao-regimento-colegiado-bsi.pdf,True,1454,pdftotext,1,2e776d1769f82ce9aefecc91384b0c7d53710feae95a4af149a1d5b47d042707,Documentos; Regulamento; colegiado; portaria; resolução; regimento; 2024; 2023; 2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA Av. Sérgio Vieira de Mello, 3150 - Bairro Zabelê - CEP 45078-900 - Vitória da Conquista - BA - www.portal.ifba.edu.br RESOLUÇÃO CONSELHO DE CAMPUS/IFBA-VDC Nº 012, DE 05 DE SETEMBRO DE 2024. Aprova Regimento Interno do Colegiado do Curso de Bacharelado em Sistemas de Informação. O PRESIDENTE DO CON…"
doc-ifba-consepe-resolucao-005-2017-aprovacao-ppc-bsi-vca,IFBA CONSEPE Resolucao 005 2017 Aprovacao PPC BSI VCA,Documentos,PPC,CONSEPE,PDF,documents/ifba_consepe_resolucao-005-2017_aprovacao-ppc-bsi-vca.pdf,False,0,no_text,1,6395e7cd8bd94cbee2ceb77a4b6953d6d76a2861e6d7115bd8796dba2f907f7f,Documentos; PPC; projeto pedagógico; currículo; resolução; 2017; sem texto extraível,PPC em Documentos.
doc-ifba-consepe-resolucao-023-2019-normas-academicas-ensino-superior,IFBA CONSEPE Resolucao 023 2019 Normas Academicas Ensino Superior,Documentos,Resolução,CONSEPE,PDF,documents/ifba_consepe_resolucao-023-2019_normas-academicas-ensino-superior.pdf,True,67133,pdftotext,49,98026ebee7d8c9f6d52f62d0582c3e28cf18a1deb451d1f8c06b0a65ad1c162e,Documentos; Resolução; extensão; atividades complementares; horas; NDE; 2019; 2018; 2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA Av. Araújo Pinho, 39 - Bairro Canela - CEP 40110-150 - Salvador - BA - www.portal.ifba.edu.br RESOLUÇÃO Nº 23, DE 16 DE MAIO DE 2019. O PRESIDENTE DO CONSELHO DE ENSINO, PESQUISA E EXTENSÃO DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA – IFBA, no uso de suas atribuições, considera…"
doc-ifba-consepe-resolucao-024-2021-curricularizacao-extensao,IFBA CONSEPE Resolucao 024 2021 Curricularizacao Extensao,Documentos,Regulamento,CONSEPE,PDF,documents/ifba_consepe_resolucao-024-2021_curricularizacao-extensao.pdf,True,15055,pdftotext,12,1c27ddabb632c2c2631e14eb15c7e7e1b1388488606564665183c93f6295c0d0,Documentos; Regulamento; extensão; curricularização; inclusão; acessibilidade; NDE; resolução; regimento; 2021; 2030; 2020; 2015; 1988; 2014; 2024; 2018; 2013,"25/10/2021 15:21 SEI/IFBA - 2030997 - Resolução INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA Av. Araújo Pinho, 39 - Bairro Canela - CEP 40110-150 - Salvador - BA - www.portal.ifba.edu.br RESOLUÇÃO Nº CONSEPE N. 24, DE 15 DE OUTUBRO DE 2021. Aprova a Regulamentação que normatiza a Curricularização da Extensão nos cursos de graduação no âmbito …"
doc-ifba-consepe-resolucao-124-2023-aprovacao-ppc-bsi-vca,IFBA CONSEPE Resolucao 124 2023 Aprovacao PPC BSI VCA,Documentos,PPC,CONSEPE,PDF,documents/ifba_consepe_resolucao-124-2023_aprovacao-ppc-bsi-vca.pdf,True,1584,pdftotext,1,27eebcc489c015149677fa5066786d334c363bca5a5c463653606191aeaee9d6,Documentos; PPC; projeto pedagógico; currículo; extensão; resolução; 2023; 2019; 2008; 2015; 2053; 2021,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA Av. Araújo Pinho, 39 - Bairro Canela - CEP 40110-150 - Salvador - BA - www.portal.ifba.edu.br RESOLUÇÃO CONSEPE/IFBA Nº 124, DE 26 DE OUTUBRO DE 2023 Aprova, ad referendum do Consepe, o Projeto Pedagógico do Curso de Bacharelado em Sistemas de Informação do Campus Vitória da Conquista. A PRESIDENTE…"
doc-ifba-consup-resolucao-008-2010-aprovacao-implantacao-bsi-vca,IFBA CONSUP Resolucao 008 2010 Aprovacao Implantacao BSI VCA,Documentos,Resolução,CONSUP,PDF,documents/ifba_consup_resolucao-008-2010_aprovacao-implantacao-bsi-vca.pdf,False,0,no_text,1,733a10daabae39b319ccd179ec73e6b20455eb72da19306832ec1c03eef7c683,Documentos; Resolução; 2010; sem texto extraível,Resolução em Documentos.
doc-ifba-consup-resolucao-022-2017-uso-nome-social,IFBA CONSUP Resolucao 022 2017 Uso Nome Social,Documentos,Resolução,CONSUP,PDF,documents/ifba_consup_resolucao-022-2017_uso-nome-social.pdf,True,8777,pdftotext,8,2531a320d0b87c5b66a893b9897e580b4338a2ceb5cf080ec349bd703d12583d,Documentos; Resolução; portaria; nome social; inclusão; 2017; 2031; 2016; 2015; 1988; 1996; 2010; 2011,"04/10/2017 :: SEI / IFBA - 0472031 - Resolução :: INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA Av. Araújo Pinho, 39 - Bairro Canela - CEP 40110-150 - Salvador - BA - www.portal.ifba.edu.br RESOLUÇÃO Nº 22, DE 03 DE OUTUBRO DE 2017. O PRESIDENTE DO CONSELHO SUPERIOR DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA – CONSUP/IFBA,…"
doc-ifba-consup-resolucao-030-2017-politica-inclusao-pessoas-deficiencia-necessidades-especificas,IFBA CONSUP Resolucao 030 2017 Politica Inclusao Pessoas Deficiencia Necessidades Especificas,Documentos,Resolução,CONSUP,PDF,documents/ifba_consup_resolucao-030-2017_politica-inclusao-pessoas-deficiencia-necessidades-especificas.pdf,False,0,no_text,1,e2d6fb9795ab1921794c1af1ef3db00fb6ac3753f96cf6b7e063e897283e12f3,Documentos; Resolução; acessibilidade; inclusão; 2017; sem texto extraível,Resolução em Documentos.
doc-ifba-consup-resolucao-090-2023-politica-assistencia-estudantil,IFBA CONSUP Resolucao 090 2023 Politica Assistencia Estudantil,Documentos,Resolução,CONSUP,PDF,documents/ifba_consup_resolucao-090-2023_politica-assistencia-estudantil.pdf,True,111964,pdftotext,109,e774c2906e7587a722605d5b545193274d282a9b0770b0c9ea01cd9b47a16684,Documentos; Resolução; atividades complementares; horas; inclusão; acessibilidade; portaria; 2023; 2016; 2020; 2015; 2014,"14/02/2023 15:25 SEI/IFBA - 2753046 - Resolução CONSUP/IFBA INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA Av. Araújo Pinho, 39 - Bairro Canela - CEP 40110-150 - Salvador - BA - www.portal.ifba.edu.br RESOLUÇÃO CONSUP/IFBA Nº 90, DE 14 DE FEVEREIRO DE 2023 Aprova a alteração no Artigo 12 da Resolução CONSUP/IFBA nº 25, de 23 de maio de 2016. O …"
doc-ifba-proen-instrucao-normativa-003-2025-guarda-religiosa-prestacao-alternativa,IFBA Proen Instrucao Normativa 003 2025 Guarda Religiosa Prestacao Alternativa,Documentos,Lei,CONSEPE,PDF,documents/ifba_proen_instrucao-normativa-003-2025_guarda-religiosa-prestacao-alternativa.pdf,True,14523,pdftotext,12,fcc893657b43e4da02fc450aa7b59d9949817720395d5fc32886b52892d30569,Documentos; Lei; aproveitamento; disciplinas; guarda religiosa; atividades alternativas; 2025; 1996; 2019; 2014,"INSTRUÇÃO NORMATIVA PROEN N° 03 DE 13 DE JUNHO DE 2025 Normatiza o fluxo para fins de aplicação do Art. 7º-A da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), alterado pela Lei n° 13.796, de 3 de janeiro de 2019, que fixa, no exercício da liberdade de consciência e de crença e segundo os preceitos de sua religião, p…"
